"Station","Lat","Long"
"EG027.00",44.36259,-68.39273
"EG028.00",44.34763,-68.40703
"EG029.00",44.34276,-68.41649
"EG029.90",44.33876,-68.41659
"EG030.00",44.33949,-68.41521
"EG030.80",44.33954,-68.40793
"EG031.00",44.34149,-68.40118
"EG032.00",44.31442,-68.42259
"EG033.00",44.28262,-68.40826
"EG033.90",44.2595700001287,-68.3971600001048
"EG034.00",44.26166,-68.39684
"EG035.00",44.25556,-68.37918
"EG036.00",44.24659,-68.37613
"EG036.06",44.23065,-68.36135
"EH003.00",44.26661,-68.29897
"EH012.20",44.27844,-68.30472
"EH012.40",44.28319,-68.30046
"EH024.00",44.29903,-68.31691
"EH027.00",44.33975,-68.32027
"EH030.00",44.3575,-68.32914
"EH031.00",44.35513,-68.33633
"EH034.00",44.36295,-68.32964
"EH035.00",44.36887,-68.32878
"EH036.00",44.36987,-68.32499
"EH038.00",44.36026,-68.31899
"EH039.00",44.36359,-68.31033
"EH040.00",44.34302,-68.30269
"EH041.00",44.33895,-68.30464
"EH044.50",44.30243,-68.30182
"EH045.00",44.29964,-68.30474
"EH047.00",44.29002,-68.29335
"EH047.20",44.28817,-68.29168
"EH050.00",44.28998,-68.28146
"EH052.00",44.29466,-68.28399
"EH055.00",44.30167,-68.28328
"EH057.00",44.29408,-68.27763
"EH065.00",44.2918,-68.23739
"EH068.00",44.31583,-68.19795
"EH069.00",44.32898,-68.18282
"EH072.00",44.25984,-68.24107
"EH073.00",44.25428,-68.27345
"EH075.00",44.2512,-68.26
"EH077.00",44.25873,-68.26956
"EI001.00",44.34261,-68.1779
"EI003.00",44.36515,-68.18546
"EI008.00",44.39149,-68.20377
"EI009.00",44.39266,-68.21004
"EI023.70",44.41888,-68.24511
"EI024.00",44.42816,-68.24422
"EI029.00",44.43942,-68.27159
"EI031.00",44.43188,-68.28445
"EI033.00",44.43241,-68.29323
"EI034.00",44.44597,-68.3191
"EI034.10",44.4286899997705,-68.3326099998082
"EI034.20",44.42745,-68.33237
"EI034.30",44.42211,-68.33794
"EI034.70",44.42216,-68.34113
"EI036.00",44.43222,-68.36614
"EI037.00",44.44243,-68.35756
"EI039.00",44.46725,-68.35653
"EI040.00",44.46174,-68.32582
"EI041.00",44.45356,-68.27976
"EI042.00",44.47066,-68.2816
"EI043.00",44.50012,-68.28215
"EI044.00",44.5055,-68.30128
"EI045.00",44.50661,-68.32461
"EI045.50",44.5156400003806,-68.3127599997438
"EI046.00",44.51741,-68.30964
"EI047.00",44.52205,-68.30644
"EI047.60",44.5333,-68.31866
"EI050.00",44.53083,-68.29983
"EI051.00",44.50904,-68.25654
"EI054.00",44.48371,-68.25276
"EI056.00",44.47615,-68.24675
"EI058.00",44.46757,-68.23392
"EI061.00",44.47148,-68.22698
"EI063.00",44.48698,-68.22475
"EI064.00",44.49416,-68.22617
"EI065.00",44.49359,-68.22373
"EI068.00",44.51796,-68.21525
"EI069.00",44.51991,-68.22111
"EI070.00",44.52627,-68.23472
"EI070.10",44.53102,-68.24675
"EI070.15",44.53779,-68.26049
"EI070.20",44.53341,-68.2682
"EI070.40",44.54201,-68.27034
"EI070.41",44.5436400000272,-68.2708200001947
"EI070.48",44.5610699995577,-68.2930799998092
"EI070.49",44.562910000153,-68.2916899997065
"EI070.52",44.56424,-68.29095
"EI070.60",44.53659,-68.26829
"EI070.70",44.57436,-68.26865
"EI070.82",44.5737,-68.26477
"EI070.90",44.5752,-68.26215
"EI071.00",44.57867,-68.2607
"EI071.50",44.58785,-68.24807
"EI072.50",44.57943,-68.24226
"EI073.00",44.5837,-68.23238
"EI074.00",44.57157,-68.21948
"EI075.00",44.56903,-68.25
"EI075.60",44.54642,-68.24703
"EI075.90",44.52935,-68.23249
"EI079.00",44.521,-68.21247
"EI081.00",44.52057,-68.20615
"EI082.00",44.52039,-68.20196
"EI083.00",44.5173,-68.19868
"EI084.00",44.51524,-68.18667
"EI086.00",44.49264,-68.19615
"EI087.00",44.48434,-68.18624
"EI089.00",44.4767,-68.1808
"EI091.00",44.47092,-68.18994
"EI093.00",44.47144,-68.18146
"EI096.00",44.47254,-68.16364
"EI098.00",44.50065,-68.15462
"EI103.00",44.469,-68.09927
"EI105.00",44.43265,-68.11653
"EI105.10",44.43053,-68.11687
"EI106.00",44.41331,-68.10916
"EI107.00",44.39474,-68.10193
"EI108.00",44.37166,-68.09042
"EI109.00",44.38981,-68.09354
"EI110.70",44.3833,-68.07548
"EI111.00",44.37466,-68.07168
"EI112.00",44.3443,-68.06472
"EI113.00",44.33611,-68.05651
"EJ002.00",44.36527,-68.03801
"EJ003.00",44.37344,-68.03271
"EJ004.00",44.38262,-68.03302
"EJ006.00",44.38568,-68.03776
"EJ008.00",44.38573,-68.03354
"EJ009.00",44.38353,-68.01934
"EJ014.00",44.40694,-68.02181
"EJ015.00",44.40445,-68.01499
"EJ016.00",44.41341,-68.00982
"EJ017.00",44.39025,-67.98601
"EJ018.00",44.39319,-67.97628
"EJ021.00",44.39783,-67.96948
"EJ022.00",44.40187,-67.9648
"EJ022.80",44.4109,-67.9723
"EJ023.00",44.41263,-67.97403
"EJ024.00",44.44203,-67.98226
"EJ024.20",44.4550000002654,-68.0041600003742
"EJ024.30",44.43892,-68.00935
"EJ024.70",44.4469999999637,-68.0141600004247
"EJ024.80",44.4727,-68.0269
"EJ024.90",44.47774,-68.02789
"EJ025.50",44.4811,-68.0219
"EJ026.00",44.46565,-67.99061
"EJ027.00",44.47824,-67.98295
"EJ027.902",44.49697,-67.98007
"EJ028.70",44.50334,-67.98495
"EJ029.40",44.50067,-67.97752
"EJ030.00",44.5040500001565,-67.9700700002096
"EJ030.50",44.49663,-67.9714
"EJ030.90",44.4915,-67.97125
"EJ031.00",44.49253,-67.9665
"EJ031.50",44.48853,-67.96715
"EJ032.00",44.47314,-67.97658
"EJ033.00",44.43998,-67.95675
"EJ034.00",44.42456,-67.95158
"EK002.00",44.43681,-67.92967
"EK003.00",44.45046,-67.93311
"EK003.10",44.4493400002726,-67.9291900000977
"EK003.80",44.47569,-67.93282
"EK004.00",44.47999,-67.93576
"EK005.00",44.47208,-67.92598
"EK005.10",44.4701700003562,-67.9232800000796
"EK006.00",44.49146,-67.91138
"EK006.30",44.4865099998094,-67.9097299997674
"EK006.50",44.47775,-67.91051
"EK007.00",44.46338,-67.90615
"EK008.00",44.44417,-67.89219
"EK008.50",44.43722,-67.91086
"EK008.90",44.42136,-67.91237
"EL001.00",44.44265,-67.88876
"EL004.00",44.45194,-67.88349
"EL006.00",44.45525,-67.87753
"EL007.00",44.47212,-67.88613
"EL008.00",44.47089,-67.87299
"EL009.80",44.48389,-67.87321
"EL010.00",44.48334,-67.87591
"EL011.00",44.47656,-67.87057
"EL013.00",44.47752,-67.86583
"EL014.00",44.49328,-67.85566
"EL015.00",44.50257,-67.85399
"EL017.80",44.5066,-67.8527
"EL018.00",44.5058,-67.85542
"EL020.00",44.51317,-67.8568
"EL021.00",44.52042,-67.86145
"EL033.00",44.52767,-67.85718
"EL034.00",44.52856,-67.85564
"EL035.00",44.54067,-67.84618
"EL036.00",44.56231,-67.837
"EL037.00",44.5531,-67.82095
"EL039.00",44.56926,-67.83162
"EL040.50",44.58587,-67.82967
"EL041.70",44.57951,-67.81895
"EL043.10",44.59419,-67.79842
"EL045.00",44.60048,-67.78752
"EL046.00",44.5884,-67.78326
"EL047.00",44.55291,-67.78347
"EL047.20",44.5443800000244,-67.8037899994245
"EM001.00",44.5488,-67.78259
"EM003.00",44.56007,-67.76951
"EM003.10",44.5608299998713,-67.7681600002523
"EM005.00",44.57083,-67.76655
"EM006.00",44.58355,-67.76141
"EM007.00",44.5939,-67.75343
"EM008.00",44.6173,-67.74569
"EM009.00",44.61538,-67.7364
"EM010.00",44.60062,-67.73913
"EM011.00",44.58296,-67.74028
"EM012.80",44.52551,-67.74032
"EM013.00",44.52297,-67.72938
"EM013.50",44.5213,-67.73368
"EM014.00",44.51127,-67.74138
"EN000.50",44.50481,-67.73232
"EN001.00",44.51444,-67.71813
"EN001.60",44.50205,-67.72497
"EN003.00",44.5203,-67.70869
