"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"26","WI055.50",5.5,10.175,5.82879533011249,33.7,60,5.5,11.5368722430962,4.09541707435709,33.7,60
"27","WI056.00",2,17.5,7.03900945020126,98.2000000000001,102,2,18.8890952284767,4.16222645730925,98.2000000000001,102
"28","WI056.70",2,0,2.20512551507984,2.60000000000001,58,0.6227071765178,1.39044198729707,0.940952322738685,2.60000000000001,58
"29","WI058.50",2,6,4.83462595198732,60.8,67,2,7.389101395337,2.7454020561402,60.8,67
"30","WI058.80",2,5.65,4.58076161405554,36.8000000000001,63,2,7.04234134356038,2.5490570234085,36.8000000000001,63
"31","WI061.00",3.6,7.55,5.1397443735396,24.4,35,3.6,8.91845803558994,3.44436498081271,24.4,35
"32","WI062.00",10,25,8.77134724502377,62.8,25,10,26.3602323498883,6.28176530996836,62.8,25
"33","WI063.00",4,14,6.75581977604298,27,31,4,15.3726390907371,4.44317445611865,27,31
"34","WI064.00",2,4,4.71932145757656,21.4000000000001,30,2,5.38237987719567,2.81876846374662,21.4000000000001,30
"35","WI065.50",2,0,2.46934167784804,5.2,33,0.621088676958841,1.38839413046232,1.04735362348741,5.2,33
"36","WI069.00",2,0,4.06444950290984,27.5,34,0.616653587096802,1.39357846495324,1.81654105312922,27.5,34
"37","WI071.00",2,2,4.00407301097032,26.3,34,0.629976435729057,3.38921368733645,2.13753935958146,26.3,34
"38","WI074.00",2,0,3.11794756447516,23.9,34,0.622403900819947,1.06102925573195,1.30715666176713,23.9,34
"39","WI077.00",2,0,2.35350862038522,2.40000000000001,30,0.611860519942472,0.0220854861468038,0.842519700318932,2.40000000000001,30
"40","WI083.00",2,0,2.26843299164648,3.6,30,0.619771972479306,0.0299966101227281,0.849042589646923,3.6,30
"41","WI088.00",2,0,2.24492409661875,2.2,30,0.615780192205911,1.39020735466526,0.979786602914641,2.2,30
"42","WI090.00",2,0,2.03957217839603,2,30,0.617756323325064,0.0341716248098275,0.760507839047615,2,30
"43","WI092.00",2,0,2.08820480691501,2,30,0.620252534753116,0.0275098196377079,0.812824149964781,2,30
