X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
514418.325000000186265,4914209.2385,1,EA001.00,A,30,30,2.2,0.22,22,4.3,31,163,44.3810200002098,-68.8190000002229,EA,25e2e776-51a4-4a38-8f0f-2b6fe4282319
516928.564799999818206,4916295.7247,4,EA003.50,P,30,30,2.1,0.14,8,3.3,31,163,44.3997500002763,-68.7874199997946,EA,069e4430-c089-4160-8453-fe49ca2c423b
518018.145999999716878,4916806.2638,6,EA005.00,P,30,30,2.4,0.34,92,6.5,31,163,44.4043199998992,-68.7737200001464,EA,3543d951-f38d-453d-995a-3d3c0af7eeef
518997.314000000245869,4919353.8145,7,EA006.00,CA,30,30,2.6,0.36,34,7.8,31,163,44.4272300000475,-68.7613299998742,EA,9ecede1f-d14e-4b2f-8f18-81425d4cc4f7
520438.700500000268221,4920153.490599999204,8,EA007.00,A,30,30,2.7,0.37,118,8.1,31,163,44.4343900001973,-68.7431900005232,EA,4e767a6d-97c0-42b2-8513-943428ec4283
521790.373700000345707,4922687.113199999556,10,EA009.00,A,30,30,2.7,0.41,78,9.5,31,163,44.4571600002893,-68.7260999997842,EA,3df00db7-83d0-4a3e-9ef1-6374c86b501e
521249.877999999560416,4923024.1137,11,EA010.00,A,19,19,3.6,0.52,132,17.2,30,163,44.4602099996664,-68.732880000457,EA,0781ea71-af20-4f1f-9e37-59bd155b3706
520818.911500000394881,4923704.7396,12,EA011.00,R,30,30,6,0.64,140,41,31,163,44.466349999566,-68.7382699999856,EA,ce8dcf28-9e4c-4186-87d1-db572ec7d885
521822.019899999722838,4923925.7401,13,EA012.00,R,30,30,7,0.69,900,53.8,31,163,44.4683100001176,-68.7256500005379,EA,b2cbb75d-d424-461a-8369-154eb7c9bb9f
522288.559000000357628,4923569.6498,14,EA013.00,A,30,30,3.7,0.54,300,18.5,31,163,44.4650899999879,-68.7198000000433,EA,ddd3ff91-c027-424f-8bf4-df96a5712d7f
523146.97690000012517,4923313.834599999711,15,EA014.00,P,30,30,5.1,0.6,220,30.8,31,163,44.4627599996049,-68.7090199993955,EA,287fa794-1a14-4dfa-be4c-31b74706e97f
523179.760499999858439,4922373.1191,16,EA014.90,A,30,30,4.6,0.56,300,24.1,31,163,44.4542900000176,-68.7086500001625,EA,b9169797-8f19-47ad-ab0e-9ecb77bda6f3
523398.925499999895692,4922269.4899,17,EA015.00,P,30,30,8.6,0.74,600,78.3,31,163,44.4533500003729,-68.7058999996185,EA,e63a316d-48d0-42b9-b822-a94167057a6e
522832.803899999707937,4921939.7992,18,EA015.50,A,30,30,3.5,0.61,860,21.9,31,163,44.4503999997663,-68.7130300004166,EA,0132a955-742b-4ffb-bbfc-71b56e91beae
521816.9731,4920684.4692,20,EA017.00,A,30,30,2.3,0.23,15,4.7,31,163,44.4391300001645,-68.7258499996945,EA,ecc67920-12a8-4a0f-b0ac-612784e6d3d5
523525.094899999909,4916189.55719999969,22,EA019.00,A,30,30,4.2,0.45,92,16.2,31,163,44.398610000332,-68.7045899997035,EA,74a7e409-54df-49d0-a129-ff3d5c766377
