X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
379490.750099999830127,4800176.547,629,WD038.00,P,30,30,4.7,0.48,66,19.6,31,163,43.3447799999886,-70.4868199997821,WD,26911b23-909c-4767-ae09-0e5d7266041e
382824.730600000359118,4801444.3932,633,WE004.00,P,30,30,11.5,0.72,660,97.9,31,163,43.3567200001807,-70.4459699994824,WE,045d0dce-b728-4262-9f7f-0639f212ebb0
383315.932500000111759,4802616.790599999949,634,WE005.00,P,30,30,8.2,0.71,460,67.2,31,163,43.3673499995748,-70.4401599997341,WE,18bd3b45-bbe2-490b-ace7-033a52fb6b80
383560.8503,4802625.8978,635,WE006.00,P,30,30,10.7,0.86,1700,136.4,31,163,43.3674700000898,-70.437140000149,WE,cb4ee927-b690-49be-9147-6085449c6eda
384077.542100000195205,4802792.538799999282,637,WE008.00,R,30,30,8.9,0.83,1700,103.6,31,163,43.3690500001887,-70.4308000001615,WE,77fb0a0a-f858-4785-8bb8-447c8172fc86
384009.83,4802435.9901,639,WE010.00,P,30,30,9.7,0.82,980,111,31,163,43.3658300003145,-70.4315600000704,WE,88c31db3-b9b7-4f0f-be0b-129184a7864a
384114.169800000265241,4802470.860099999234,640,WE010.20,P,30,30,4.7,0.64,360,31.8,31,163,43.366159999631,-70.4302800004167,WE,4f877334-18a5-4e43-af52-7dc4086177ff
383718.753999999724329,4803654.098899999633,641,WE011.00,R,30,30,6.4,0.73,960,56,31,163,43.376749999722,-70.4354100005499,WE,3c79c019-3280-42f9-a40f-dd896e74159d
384159.615299999713898,4803419.9021,642,WE013.00,R,30,30,7.9,0.8,1700,85.5,31,163,43.3747099999269,-70.4299200003698,WE,32bc2390-e98d-4f71-a330-9037d60873db
383403.410000000149012,4805149.262099999934,644,WE018.50,R,30,30,6.9,0.58,160,39.5,31,163,43.3901599998114,-70.4396199999312,WE,d61e49a6-1f7d-4883-8796-fbe7c5cc2f42
