date,station,AWND,AWNDattr,FMTM,FMTMattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WESD,WESDattr,WSF2,WSF2attr,WT01,WT01attr,WT07,WT07attr,WT08,WT08attr,WT13,WT13attr,WT16,WT16attr,PGTM,PGTMattr,WDF5,WDF5attr,WSF5,WSF5attr,WT02,WT02attr,WT09,WT09attr,WT05,WT05attr,WT03,WT03attr,WT14,WT14attr,WT18,WT18attr,WT17,WT17attr,WT19,WT19attr,WT11,WT11attr,WT22,WT22attr,WT04,WT04attr,WT06,WT06attr,TAVG,TAVGattr
1/20/2015,,50,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",22,",,W,2400",-60,",,W,2400",260,",,W,",,,94,",,W,",,,,,,,,,,,,,280,",,W,",125,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,4,"H,,S,"
1/21/2015,,11,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",-5,",,W,2400",-110,",,W,2400",350,",,W,",,,40,",,W,",,,,,,,,,,,,,340,",,W,",49,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-51,"H,,S,"
1/22/2015,,17,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",33,",,W,2400",-60,",,W,2400",360,",,W,",,,45,",,W,",,,,,,,,,,,,,360,",,W,",58,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-28,"H,,S,"
1/23/2015,,30,",,W,",,,0,",,W,2400",0,",,W,",30,",,W,2400",17,",,W,2400",-82,",,W,2400",250,",,W,",,,58,",,W,",,,,,1,",,W,",,,,,,,300,",,W,",81,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-34,"H,,S,"
1/24/2015,,34,",,W,",,,69,",,W,2400",84,",,W,",30,",,W,2400",0,",,W,2400",-38,",,W,2400",330,",,W,",,,81,",,W,",1,",,W,",,,1,",,W,",,,,,,,340,",,W,",107,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-17,"H,,S,"
1/25/2015,,55,",,W,",,,0,",,W,2400",0,"T,,W,",130,",,W,2400",28,",,W,2400",-116,",,W,2400",290,",,W,",,,103,",,W,",,,,,,,,,,,,,330,",,W,",130,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-5,"H,,S,"
1/26/2015,,37,",,W,",,,0,",,W,2400",0,",,W,",100,",,W,2400",-66,",,W,2400",-160,",,W,2400",10,",,W,",,,94,",,W,",,,,,,,,,,,,,10,",,W,",121,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-103,"H,,S,"
1/27/2015,,112,",,W,",,,602,",,W,2400",564,",,W,",200,",,W,2400",-82,",,W,2400",-116,",,W,2400",350,",,W,",,,157,",,W,",1,",,W,",,,1,",,W,",,,,,,,340,",,W,",215,",,W,",1,",,W,",1,",,W,",,,,,,,,,,,,,,,,,,,,,-98,"H,,S,"
1/28/2015,,54,",,W,",,,18,",,W,2400",41,",,W,",430,",,W,2400",-32,",,W,2400",-138,",,W,2400",10,",,W,",,,139,",,W,",,,,,1,",,W,",,,,,,,340,",,W,",179,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-72,"H,,S,"
1/29/2015,,10,",,W,",,,0,",,W,2400",0,",,W,",380,",,W,2400",-10,",,W,2400",-193,",,W,2400",280,",,W,",,,45,",,W,",,,,,,,,,,,,,280,",,W,",49,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-95,"H,,S,"
1/30/2015,,32,",,W,",,,97,",,W,2400",109,",,W,",380,",,W,2400",0,",,W,2400",-60,",,W,2400",320,",,W,",,,112,",,W,",1,",,W,",,,1,",,W,",,,,,,,320,",,W,",165,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-29,"H,,S,"
1/31/2015,,85,",,W,",,,13,",,W,2400",33,",,W,",460,",,W,2400",-55,",,W,2400",-138,",,W,2400",330,",,W,",,,143,",,W,",,,,,1,",,W,",,,,,,,320,",,W,",192,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-68,"H,,S,"
2/1/2015,,27,",,W,",,,0,",,W,2400",0,",,W,",410,",,W,2400",-32,",,W,2400",-182,",,W,2400",330,",,W,",,,63,",,W,",,,,,,,,,,,,,350,",,W,",81,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-108,"H,,S,"
2/2/2015,,65,",,W,",,,226,",,W,2400",231,",,W,",410,",,W,2400",-110,",,W,2400",-160,",,W,2400",350,",,W,",,,116,",,W,",,,,,,,,,,,,,360,",,W,",157,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-143,"H,,S,"
2/3/2015,,30,",,W,",,,0,",,W,2400",0,",,W,",510,",,W,2400",-66,",,W,2400",-177,",,W,2400",310,",,W,",,,89,",,W,",,,,,,,,,,,,,310,",,W,",130,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-114,"H,,S,"
2/4/2015,,18,",,W,",,,15,",,W,2400",20,",,Z,",480,",,W,2400",17,",,W,2400",-188,",,W,2400",210,",,W,",,,81,",,W,",1,",,W,",,,1,",,W,",,,,,,,230,",,W,",121,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-96,"H,,S,"
2/5/2015,,57,",,W,",,,53,",,W,2400",64,",,W,",510,",,W,2400",11,",,W,2400",-155,",,W,2400",340,",,W,",,,116,",,W,",1,",,W,",,,1,",,W,",,,,,,,330,",,W,",157,",,W,",1,",,W,",1,",,W,",,,,,,,,,,,,,,,,,,,,,-22,"H,,S,"
2/6/2015,,16,",,W,",,,0,",,W,2400",0,",,W,",510,",,W,2400",-71,",,W,2400",-227,",,W,2400",310,",,W,",,,63,",,W,",,,,,,,,,,,,,320,",,W,",85,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-139,"H,,S,"
2/7/2015,,28,",,W,",,,0,"T,,W,2400",0,"T,,W,",480,",,W,2400",-21,",,W,2400",-132,",,W,2400",20,",,W,",,,58,",,W,",,,,,1,",,W,",,,,,,,280,",,W,",76,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-76,"H,,S,"
2/8/2015,,55,",,W,",,,66,",,W,2400",74,",,W,",480,",,W,2400",-55,",,W,2400",-127,",,W,2400",50,",,W,",,,89,",,W,",1,",,W,",,,1,",,W,",,,,,,,10,",,W,",112,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-92,"H,,S,"
2/9/2015,,60,",,W,",,,102,",,W,2400",122,",,W,",580,",,W,2400",-93,",,W,2400",-121,",,W,2400",10,",,W,",,,81,",,W,",,,,,,,,,,,,,360,",,W,",116,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-117,"H,,S,"
2/10/2015,,38,",,W,",,,33,",,W,2400",43,",,W,",560,",,W,2400",-10,",,W,2400",-116,",,W,2400",360,",,W,",,,72,",,W,",,,,,1,",,W,",,,,,,,350,",,W,",89,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-83,"H,,S,"
2/11/2015,,34,",,W,",,,0,",,W,2400",0,",,W,",530,",,W,2400",-49,",,W,2400",-138,",,W,2400",30,",,W,",,,81,",,W,",,,,,,,,,,,,,20,",,W,",112,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-84,"H,,S,"
2/12/2015,,16,",,W,",,,10,",,W,2400",33,",,W,",510,",,W,2400",-66,",,W,2400",-160,",,W,2400",340,",,W,",,,36,",,W,",1,",,W,",,,1,",,W,",,,,,,,30,",,W,",45,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-107,"H,,S,"
2/13/2015,,39,",,W,",,,0,",,W,2400",0,",,W,",530,",,W,2400",-82,",,W,2400",-199,",,W,2400",330,",,W,",,,81,",,W,",,,,,,,,,,,,,330,",,W,",112,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-101,"H,,S,"
2/14/2015,,26,",,W,",,,58,",,W,2400",48,",,W,",530,",,W,2400",-88,",,W,2400",-221,",,W,2400",20,",,W,",,,76,",,W,",1,",,W,",,,,,,,,,,,20,",,W,",98,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-149,"H,,S,"
2/15/2015,,91,",,W,",,,5,",,W,2400",10,",,W,",560,",,W,2400",-71,",,W,2400",-182,",,W,2400",340,",,W,",,,157,",,W,",1,",,W,",,,1,",,W,",,,,,,,310,",,W,",206,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-94,"H,,S,"
2/16/2015,,66,",,W,",,,0,",,W,2400",0,",,W,",530,",,W,2400",-60,",,W,2400",-193,",,W,2400",310,",,W,",,,157,",,W,",,,,,1,",,W,",,,,,,,310,",,W,",197,",,W,",,,1,",,W,",,,,,,,,,,,,,,,,,,,,,-140,"H,,S,"
2/17/2015,,13,",,W,",,,0,",,W,2400",0,",,W,",510,",,W,2400",-60,",,W,2400",-177,",,W,2400",70,",,W,",,,45,",,W,",,,,,,,,,,,,,60,",,W,",54,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-124,"H,,S,"
2/18/2015,,20,",,W,",,,5,",,W,2400",10,",,W,",510,",,W,2400",0,",,W,2400",-143,",,W,2400",100,",,W,",,,67,",,W,",1,",,W,",,,1,",,W,",,,,,,,110,",,W,",85,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-68,"H,,S,"
